Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt22022452,2024-06-18,2025-01-02,"Disney/Pixar Animation Opening Weekend: $154,201,673 Domestic: $652,980,194 International: $1,045,792,791TOTAL: $1,698,772,985","Inside Out 2","Inside Out 2",https://www.imdb.com/title/tt22022452/,Movie,7.5,96,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy",207077,2024-06-14,"Kelsey Mann"
2,tt6263850,2024-07-31,2025-01-02,"Disney/Marvel Studios Opening Weekend: $211,435,291 Domestic: $636,745,858 International: $701,327,787TOTAL: $1,338,073,645","Deadpool & Wolverine","Deadpool & Wolverine",https://www.imdb.com/title/tt6263850/,Movie,7.6,128,2024,"Action, Adventure, Comedy, Sci-Fi",472071,2024-07-26,"Shawn Levy"
3,tt13622970,2025-01-02,2025-02-25,"Disney Animation Opening Weekend: $139,787,385 Domestic: $458,810,196 International: $594,611,867TOTAL: $1,053,422,063","Moana 2","Moana 2",https://www.imdb.com/title/tt13622970/,Movie,6.8,100,2024,"Animation, Adventure, Comedy, Family, Fantasy, Musical",79095,2024-11-27,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller"
4,tt7510222,2024-07-24,2025-01-02,"Universal Opening Weekend: $75,009,210 Domestic: $361,004,205 International: $608,122,247TOTAL: $969,126,452","Despicable Me 4","Despicable Me 4",https://www.imdb.com/title/tt7510222/,Movie,6.2,94,2024,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",59969,2024-07-03,"Chris Renaud, Patrick Delage"
5,tt1262426,2025-01-02,2025-02-25,"Universal Opening Weekend: $112,508,890 Domestic: $472,773,160 International: $255,326,000TOTAL: $728,099,160","Wicked","Wicked: Part I",https://www.imdb.com/title/tt1262426/,Movie,7.6,160,2024,"Fantasy, Musical, Romance",132286,2024-11-22,"Jon M. Chu"
6,tt15239678,2024-03-05,2024-10-15,"Warner Bros Opening Weekend: $82,505,391 Domestic: $282,144,358 International: $432,300,000TOTAL: $714,444,358","Dune: Part Two","Dune: Part Two",https://www.imdb.com/title/tt15239678/,Movie,8.5,166,2024,"Action, Adventure, Drama, Sci-Fi",603069,2024-03-01,"Denis Villeneuve"
7,tt13186482,2025-01-02,2025-02-25,"Disney Opening Weekend: $35,409,365 Domestic: $245,423,551 International: $453,742,681TOTAL: $699,166,232","Mufasa: The Lion King","Mufasa: The Lion King",https://www.imdb.com/title/tt13186482/,Movie,6.7,118,2024,"Animation, Adventure, Drama, Family, Fantasy, Musical",42862,2024-12-20,"Barry Jenkins"
8,tt14539740,2024-04-09,2024-10-15,"Warner Bros. Opening Weekend: $80,006,561 Domestic: $196,350,016 International: $375,400,000TOTAL: $571,750,016","Godzilla x Kong: The New Empire","Godzilla x Kong: The New Empire",https://www.imdb.com/title/tt14539740/,Movie,6.1,115,2024,"Action, Adventure, Fantasy, Sci-Fi, Thriller",118073,2024-03-29,"Adam Wingard"
9,tt21692408,2024-03-12,2025-01-02,"Universal Opening Weekend: $57,989,905 Domestic: $193,590,620 International: $354,098,872TOTAL: $547,689,492","Kung Fu Panda 4","Kung Fu Panda 4",https://www.imdb.com/title/tt21692408/,Movie,6.3,94,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy",65729,2024-03-08,"Mike Mitchell, Stephanie Stine"
10,tt28151876,2024-02-13,2024-04-09,"Opening Weekend: $827,632 Domestic: $1,926,474 International: $496,773,526TOTAL: $498,700,000 (Chinese movie)","Yolo","Re la gun tang",https://www.imdb.com/title/tt28151876/,Movie,6.9,129,2024,"Action, Comedy, Drama, Sport",3522,2024-02-10,"Ling Jia"
11,tt18259086,2025-01-02,2025-02-25,"Paramount Opening Weekend: $60,102,146 Domestic: $235,300,605 International: $248,000,000TOTAL: $483,300,605","Sonic the Hedgehog 3","Sonic the Hedgehog 3",https://www.imdb.com/title/tt18259086/,Movie,7.0,110,2024,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",47840,2024-12-20,"Jeff Fowler"
