movie,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,BoxOffice_Global
A Complete Unknown,0.055459272,0.133448873,0.046793761,0.076256499,0.110918544,0.109185442,0.251299827,0.062391681,0.043327556,0.110918544,110157927
A Different Man,0.022727273,0.170454545,0.034090909,0.0625,0.159090909,0.073863636,0.238636364,0.045454545,0.079545455,0.113636364,1327640
A Little Something Extra,0.02617801,0.162303665,0.036649215,0.062827225,0.151832461,0.089005236,0.230366492,0.052356021,0.078534031,0.109947644,84014469
A Place Called Silence,0.059649123,0.136842105,0.031578947,0.10877193,0.101754386,0.112280702,0.207017544,0.080701754,0.045614035,0.115789474,192856689
A Quiet Place: Day One,0.057142857,0.123809524,0.095238095,0.076190476,0.057142857,0.180952381,0.19047619,0.114285714,0.038095238,0.066666667,261786322
A Real Pain,0.04784689,0.112440191,0.028708134,0.086124402,0.100478469,0.122009569,0.227272727,0.093301435,0.076555024,0.105263158,21117697
Abigail,0.057324841,0.152866242,0.038216561,0.076433121,0.127388535,0.063694268,0.184713376,0.025477707,0.127388535,0.146496815,42791449
Alien: Romulus,0.094936709,0.069620253,0.101265823,0.126582278,0.063291139,0.164556962,0.14556962,0.069620253,0.063291139,0.101265823,350865342
Anora,0.067750678,0.116531165,0.027100271,0.067750678,0.124661247,0.135501355,0.20596206,0.062330623,0.059620596,0.132791328,38105404
Argylle,0.073529412,0.117647059,0.088235294,0.044117647,0.132352941,0.147058824,0.235294118,0.058823529,0.029411765,0.073529412,96221061
Arthur the King,0.043243243,0.132432432,0.024324324,0.062162162,0.110810811,0.121621622,0.218918919,0.075675676,0.064864865,0.145945946,40815190
Article 20,0.083798883,0.111731844,0.033519553,0.089385475,0.094972067,0.106145251,0.201117318,0.067039106,0.072625698,0.139664804,345600000
Babes,0.090909091,0.106060606,0.015151515,0.090909091,0.106060606,0.090909091,0.196969697,0.03030303,0.136363636,0.136363636,3898742
Babygirl,0.066225166,0.145695364,0.066225166,0.059602649,0.099337748,0.132450331,0.178807947,0.039735099,0.086092715,0.125827815,62889273
Back to Black,0.058708415,0.095890411,0.072407045,0.072407045,0.093933464,0.150684932,0.195694716,0.086105675,0.050880626,0.123287671,50996759
Bad Boys: Ride or Die,0.074074074,0.117283951,0.070987654,0.114197531,0.111111111,0.114197531,0.160493827,0.083333333,0.052469136,0.101851852,404547819
Beetlejuice Beetlejuice,0.080291971,0.087591241,0.051094891,0.094890511,0.109489051,0.124087591,0.189781022,0.058394161,0.087591241,0.116788321,451100435
Better Man,0,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,11901335
Between the Temples,0,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,2316693
Blink Twice,0.083333333,0.138888889,0.047619048,0.071428571,0.111111111,0.119047619,0.170634921,0.095238095,0.063492063,0.099206349,46393906
Blue Lock: Episode Nagi,0.090909091,0.106060606,0.015151515,0.090909091,0.106060606,0.090909091,0.196969697,0.03030303,0.136363636,0.136363636,14291561
Bob Marley: One Love,0.034810127,0.066455696,0.041139241,0.060126582,0.183544304,0.107594937,0.294303797,0.082278481,0.018987342,0.110759494,180828556
Boonie Bears: Time Twist,0.0625,0.125,0.0625,0.125,0.0625,0.15625,0.1875,0.03125,0.03125,0.15625,279600000
Borderlands,0.076923077,0.111111111,0.072649573,0.064102564,0.111111111,0.132478632,0.175213675,0.081196581,0.055555556,0.11965812,32978510
Challengers,0.101694915,0.093220339,0.059322034,0.084745763,0.101694915,0.127118644,0.169491525,0.076271186,0.110169492,0.076271186,96019408
Civil War,0.08778626,0.076335878,0.034351145,0.15648855,0.049618321,0.213740458,0.194656489,0.076335878,0.034351145,0.076335878,126185957
Conclave,0.071428571,0.112781955,0.060150376,0.086466165,0.105263158,0.116541353,0.214285714,0.052631579,0.060150376,0.120300752,98531621
Deadpool & Wolverine,0.070422535,0.107981221,0.046948357,0.117370892,0.098591549,0.112676056,0.211267606,0.046948357,0.075117371,0.112676056,1338073645
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,0.084175084,0.124579125,0.060606061,0.084175084,0.097643098,0.117845118,0.154882155,0.060606061,0.077441077,0.138047138,44350181
Despicable Me 4,0.068403909,0.117263844,0.052117264,0.081433225,0.094462541,0.140065147,0.195439739,0.074918567,0.052117264,0.123778502,969126452
Detective Conan: The Million-Dollar Pentagram,0.025974026,0.168831169,0.03030303,0.082251082,0.155844156,0.077922078,0.229437229,0.038961039,0.073593074,0.116883117,103494958
Dune: Part Two,0.052631579,0.140350877,0.058479532,0.070175439,0.111111111,0.169590643,0.187134503,0.035087719,0.058479532,0.116959064,714444358
Dìdi,0.090909091,0.106060606,0.015151515,0.090909091,0.106060606,0.090909091,0.196969697,0.03030303,0.136363636,0.136363636,5135513
Exhuma,0.092592593,0.117283951,0.049382716,0.098765432,0.098765432,0.098765432,0.191358025,0.043209877,0.117283951,0.092592593,93891418
Fly Me to the Moon,0.063122924,0.159468439,0.046511628,0.053156146,0.109634551,0.142857143,0.205980066,0.056478405,0.059800664,0.102990033,42247783
Formed Police Unit,0.033707865,0.112359551,0.033707865,0.06741573,0.146067416,0.06741573,0.269662921,0.033707865,0.056179775,0.179775281,71896273
Furiosa: A Mad Max Saga,0.098039216,0.098039216,0.056862745,0.123529412,0.070588235,0.166666667,0.160784314,0.090196078,0.045098039,0.090196078,173775791
Ghostbusters: Frozen Empire,0.061068702,0.106870229,0.030534351,0.114503817,0.083969466,0.129770992,0.20610687,0.045801527,0.099236641,0.122137405,201967521
Gladiator II,0.096774194,0.064516129,0.058064516,0.135483871,0.064516129,0.193548387,0.161290323,0.070967742,0.077419355,0.077419355,460479415
Go for Broke,0.066666667,0.085714286,0.066666667,0.085714286,0.066666667,0.20952381,0.19047619,0.076190476,0.019047619,0.133333333,65378866
Godzilla x Kong: The New Empire,0.092150171,0.102389078,0.054607509,0.112627986,0.102389078,0.150170648,0.201365188,0.061433447,0.044368601,0.078498294,571750016
Haikyu!! The Dumpster Battle,0.15625,0.0625,0.125,0.0625,0.03125,0.3125,0.09375,0.03125,0.03125,0.09375,100255784
Harold and the Purple Crayon,0.06122449,0.12244898,0.040816327,0.040816327,0.142857143,0.102040816,0.326530612,0,0.040816327,0.12244898,32227291
Here,0.080145719,0.118397086,0.054644809,0.094717668,0.076502732,0.118397086,0.191256831,0.089253188,0.061930783,0.114754098,12314793
Heretic,0.050561798,0.140449438,0.02247191,0.084269663,0.140449438,0.08988764,0.219101124,0.039325843,0.084269663,0.129213483,43977764
Horizon: An American Saga - Chapter 1,0.052631579,0.144736842,0.070175439,0.052631579,0.122807018,0.109649123,0.197368421,0.070175439,0.048245614,0.131578947,38235702
"I, the Executioner",0.1,0.2,0,0.3,0.1,0.1,0.1,0,0,0.1,53697201
